opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
VOP00039,VAC4A7E665B,Accounts Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,McGills is a friendly & supportive environment which not only services our Cirencester clients but supports our Malmesbury & Fairford office. You will have the opportunity to meet a variety of people and get involved with a variety of different aspects in the office.   Duties include but not limited to:     All aspects of bookkeeping.  VAT.  Setting up clients on cloud-based software.  Answerin...,"Communication skills,IT skills,Presentation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00040,VACF80F26D5,Accounts Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,The role will rotate every 6 months.   Year 1 will be 6 months in Accounts Payable & 6 months in Treasury.   AP:     Processing invoices.  Supplier account reconciliations.  Dealing with supplier queries.    Treasury:     Posting receipts from customers.  Customer account reconciliations.  Dealing with customer queries.,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00041,VACF80F26D5,Accounts Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,"You will work in various different teams during your apprenticeship, working closely with each of the different accounts disciplines as well as the Property Management teams to provide a best in class service to our clients.   The apprentice will work initially in our Accounts Payable and Cashiering teams receipting incoming cash.  Further opportunities will be considered as apprentice develops...","Attention to detail,Adaptable,Positive Attitude,Driven",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00042,VACF80F26D5,Accounts Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,Logging Supplier Invoices.  Dealing with Supplier Queries.  Receipting Cash Received.  Dealing with Tenant/Customer Queries.  Contacting/Answering Tenant/Supplier calls/emails.,"Communication skills,Organisation skills,Problem solving skills,Team working,Interpersonal skills,Planning Skills,Driven and enthusiastic,Positive Attitude,Adaptable",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00043,VAC99EEF190,Administration Apprentice,apprenticeship,Intermediate Level 2 (GCSE),admin,"First point of contact for visitors to the office..  Office administration..  Answering telephone and passing on messages..  Filing of correspondence..  Maintaining (including ordering) of stationery..  Dealing with incoming mail & dispatching outgoing mail, this may mean going to a local post office..  Dealing with clients in a professional manner..  Reality check &ndash; there will be mundane...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00044,VACB503D320,Apprentice Automotive Technician/ Mechanic,apprenticeship,Advanced Level 3 (A level),customer_success,"As an independent garage we are able to provide you with varied and interesting apprenticeship on a variety of makes and models of car and light commercial vehicles. Initially you will work under direct supervision but as your skills and experience increase, so will your independence in the workplace. Following the successful completion of the apprenticeship you will be able to carry out the fo...","Attention to detail,Customer care skills,Problem solving skills,Team working,Physical fitness",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00045,VAC655845EC,Assistant Accountant Apprentice,apprenticeship,Advanced Level 3 (A level),admin,The successful candidate will be trained to perform the following tasks for our practice:       Bookkeeping duties on online accounting software or excel   Preparation of draft VAT returns   Preparation of draft statutory financial statements   Preparation of draft company and personal tax returns   Draft monthly payroll tasks using our approved software,"Communication skills,IT skills,Organisation skills,Problem solving skills,Administrative skills,Number skills,Analytical skills,Team working,Initiative,Written Skills,Hard-working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00046,VACF8221134,Renewals Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,This role will be primarily focused on administration and the successful candidate will support with:     Updating and processing data within a case management system.  Issuing renewal reminders via email.  Monitoring reminders received from overseas agents.  Updating case records.  Checking draft invoices.  General admin support.,"Communication skills,IT skills,Attention to detail,Team working,reliable",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00047,VACF8221134,Renewals Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,This role will be primarily focused on administration and the successful candidate will support with:     Updating and processing data within a case management system.  Issuing renewal reminders via email.  Monitoring reminders received from overseas agents.  Updating case records.  Checking draft invoices.  General admin support.,"Communication skills,IT skills,Attention to detail,Team working,reliable",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP00048,VACF8221134,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,This role requires someone who can maintain focus on repetitive tasks with varied content.    ; Updating and processing data within a case management system    ; Issuing renewal reminders via email    ; Monitoring reminders received from overseas agents    ; Updating case records    ; Checking draft invoices    ; General admin support,"Excellent team-work skills,Excellent communication skills,Excellent attention to detail,Good organisational skills,Able to maintain focus,Enthusiastic,Willingness to learn,Keen eye for detail,Able to ",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
